;Name of Added Sugar;FDA;USDA;AHA;UCSF;HSPH;Popkin;other;Product Name;URL;PN check-2019-4-1;MonstersFamilyHistory1;Family Name History2;New Family Names;Description 
123;Light Brown Cane Sugar;;;;;;;ASR;True Made Foods Pitmaster Low Sugar BBQ Sauce - Kansas City Style (Original);https://www.truemadefoods.com/shop/sauces/pitmaster-bbq-sauce-original;checked;Cane Monsters;Cane Monsters;Cane Monsters;Light brown cane sugar is extracted from the sugarcane plant and not refined, sometimes in the form of cane juice, this raw form of sugar still retains some of the molasses and moisture from the plant. This sugar can be found in BBQ sauce.
124;Light Brown Sugar;;;;;;;ASR;Oatmega Peanut Butter Cookie;http://shop.oatmega.com/Peanut-Butter/p/OAT-020202&c=Oatmega@Cookies#;checked;Sugar Monsters;Sugar Monsters;Obvious Monsters;Brown sugar is a sucrose sugar product with brown color due to the presence of molasses. This sugar can be found in some syrups.
125;Liquid Sugar;;;;;;;ASR;Wegmans Pink Grapefruit Sorbet Frozen Dessert;https://www.wegmans.com/products/frozen-foods/ice-cream-and-frozen-yogurt/ice-cream/pink-grapefruit-sorbet.html;checked;Sugar Monsters;Sugar Monsters;Obvious Monsters;Liquid sugar is crystalized sugar that has been dissolved in water. This sugar can be found in ice cream.
126;Loganberry Juice Concentrate;;;;;;;ASR;Crystal Beach Amusement Park Original Loganberry Drink 2 Liters;https://www.walmart.com/ip/Crystal-Beach-Amusement-Park-Original-Loganberry-Drink-2-Liters/37321725;find another product;Concentrate Monsters;Concentrate Monsters;Concentrate Monsters;Loganberry Juice Concentrate is made by squeezing juice from the loganberry and removing a large percentage of the water, usually by heat. This sugar can be found in Crystal Beach Amusement Park Original Loganberry Drink.
127;Malt Extract;;;;;;;ASR;Fiber One Oats & Chocolate Chewy Bars;https://www.fiberone.com/products/bars/oats-chocolate;checked;Other Monsters;Other Monsters;Strange Monsters;Malt extract is a sweet, sticky substance obtained from an infusion of malt and water. This sugar can be found in bread, cereal, and trail mix bars.
128;Malt Syrup;https://www.accessdata.fda.gov/scripts/interactivenutritionfactslabel/sugars.html;X;;X;X;;ASR;Fiber One Honey Clusters Cereal;https://www.fiberone.com/products/cereals/honey-clusters;checked;Syrup Monsters;Syrup Monsters;Syrup Monsters;Malt syrup is an unrefined sweetener processed by extraction from malt or barley. This sugar can be found in granola, crackers, and pretzels.
129;Maltodextrin;;;;X;;;ASR;Nissin Chicken Flavor Cup Noodles;http://nissinfoods.com/products/cup-noodles;checked;Dextrin Monsters;Dextrin Monsters;Dextrin Monsters;Dextrin containing maltose that is used as a food additive. This sugar can be found in drink mixes, mac and cheese mixes, and soups. 
130;Maltol;;;X;X;X;;ASR;Mccormick Culinary Lemon 'N Herb Seasoning;http://www.mccormickforchefs.com/products/mccormick-culinary/lemon-n-herb-seasoning;checked;Other Monsters;Other Monsters;Strange Monsters;Maltol is a white crystalline powder that is primarily used as a flavor enhancer, found in the bark of larch tree, pine needles, and roasted malt. This sugar can be found in seasoning powder.
131;Maltose;https://www.accessdata.fda.gov/scripts/interactivenutritionfactslabel/sugars.html;X;;http://dtc.ucsf.edu/pdfs/Sweeteners_04.30.10.pdf;;;ASR;A-Sha Original Flavor Seaweed Snack;http://www.ashaseaweedsnacks.com/the-original-2/;checked;OSE Monsters;OSE Monsters;OSE Monsters;Maltose, also known as maltobiose or malt sugar, is a disaccharide formed from two units of glucose. This sugar can be found in cinnamon rolls. 
132;Mango Juice Concentrate;;;;;;;ASR;Bai Antioxidant Infusion Malawi Mango Flavored Water;http://www.drinkbai.com/products/malawi-mango;checked;Concentrate Monsters;Concentrate Monsters;Concentrate Monsters;Mango juice concentrate is made by squeezing juice from the mango and removing a large percentage of the water, usually by heat. This sugar can be found in apple juice.
133;Maple Sugar;;;;;;;ASR;Base Culture's Paleo Gingerbread Almond Butter;https://baseculture.com/collections/almond-butters/products/almond-butter-gingerbread?variant=42899641480;checked;Sugar Monsters;Sugar Monsters;Obvious Monsters;Maple sugar is what remains after the sap of the sugar maple is boiled for a long time. This sugar can be found in pork sausages.
134;Maple Syrup;https://www.accessdata.fda.gov/scripts/interactivenutritionfactslabel/sugars.html;;;http://dtc.ucsf.edu/pdfs/Sweeteners_04.30.10.pdf;X;;ASR;Nature Valley Maple Brown Sugar Big And Crunchy Granola;https://www.naturevalley.com/product/maple-brown-sugar-granola-crunch/;checked;Syrup Monsters;Syrup Monsters;Syrup Monsters;Maple syrup is a syrup usually made from the xylem sap of sugar maple or from other maple species. This sugar can be found in pancake syrup, cold cut meats, and granola bars.
135;Melon Juice Concentrate;;;;;;;in ASR;Kanro Gift Pack Of Pure Gummy Featuring The Juice Of Hokkaido-Grown Melons;https://www.kanro.co.jp/en/product/detail/id=684;find substitute product;Concentrate Monsters;Concentrate Monsters;Concentrate Monsters;Melon juice concentrate is made by squeezing juice from the melon and removing a large percentage of the water, usually by heat. This sugar can be found in Japanese Gummies.
136;Milled Cane Sugar;;;;;;;ASR;Starbucks Fresh Blueberries And Honey Greek Yogurt Parfait Dessert;https://www.starbucks.com/menu/food/yogurt-and-fruit/fresh-blueberries-and-honey-greek-yogurt-parfait?foodZone=9999;checked;Cane Monsters;Cane Monsters;Cane Monsters;Milled sugar uses the sugar crystals from the first milled juice of sugar cane plants. This sugar can be found in granola cereals.
137;Molasses;https://www.accessdata.fda.gov/scripts/interactivenutritionfactslabel/sugars.html;X;X;http://dtc.ucsf.edu/pdfs/Sweeteners_04.30.10.pdf;X;;ASR;Smartmade Rosemary Grilled Beef And Vegetables;https://www.eatyourbest.com/smartmade/product/00025800000326;checked;Other Monsters;Other Monsters;Strange Monsters;Molasses is the thick, brown syrup left after the sugar has been removed from sugar cane or beets. This sugar can be found in BBQ sauce, peanut butter, and yogurt.
138;Molasses Granules;;;;;;;x;Darcy’S Delish Old Fashioned Chocolate Chip Cookie;http://amongfriendsbakingmixes.com/darcys-delish-old-fashioned-chocolate-chip-cookie-mix/;checked;Other Monsters;Other Monsters;Strange Monsters;Minimally processed and maintains many of the natural vitamins and minerals found in sugar cane. This sugar can be found in Darcy's Delish Old Fashioned Chocolate Chip Cookie Mix.
139;Molasses Powder;;;;;;;ASR;Tim Hortons Maple Cinnamon French Toast Bagel;https://www.timhortons.com/us/en/pdf/Ingredient_Information_-_USA.pdf;checked;Other Monsters;Other Monsters;Strange Monsters;Molasses is the dark, sweet syrup created in the sugar cane extraction process. This sugar can be found in baking mixes and pizza crust.
140;Monk Fruit Juice Concentrate;;;;;;;;Fairlife Chocolate With Dha Ultra Filtered Milk;https://fairlife.com/ultra-filtered-milks/fairlife-chocolate-with-dha/;checked;Concentrate Monsters;Concentrate Monsters;Concentrate Monsters;Monk fruit juice concentrate is made by squeezing juice from the monk fruit and removing a large percentage of the water, usually by heat. This sugar can be found in Fairlife's DHA chocolate milk.
141;Monk Juice Concentrate;;;;;;;;Fairlife Yup! Very Strawberry Low-Fat Milk;https://fairlife.com/yup/yup-very-strawberry/;checked;Concentrate Monsters;Concentrate Monsters;Concentrate Monsters;Monk juice concentrate is made by squeezing juice from the monk fruit and removing a large percentage of the water, usually by heat. This sugar can be found in low-fat strawberry milk.
142;Muscovado;;;;X;;;ASR;Chinese Doughnuts Muscovado Sugar Flavor Mi Ma Hua;https://www.amazon.com/OUZ123-Chinese-Doughnuts-Muscovado-Flavor/dp/B07LF1CLL8/ref=sr_1_78?keywords=Muscovado&qid=1551822889&s=gateway&sr=8-78&th=1;checked;Other Monsters;Other Monsters;Strange Monsters;Muscovado is a type of partially refined to unrefined sugar with a strong molasses content and flavor. This sugar can be found in muscovado sugar flavored CHinese Doughnuts.
143;Non Gmo Honey;;;;;;;;Barbara's Dark Chocolate Cranberry Granola;http://shop.barbaras.com/Dark-Chocolate-Cranberry-Better-Granola/p/BAR-300152&c=BarbarasBakery@Cereals@Granola#;checked;Other Monsters;Other Monsters;Strange Monsters;Non-GMO honey is honey in its natural state as it has been produced from the nectar of plants and is never exposed to artificial manipulation. This sugar can be found in dark chocolate cranberry granola.
