;Name of Added Sugar;FDA;USDA;AHA;UCSF;HSPH;Popkin;other;Product Name;URL;PN check-2019-4-1;MonstersFamilyHistory1;Family Name History2;New Family Names;Description 
174;Organic Evaporated Coconut Palm Nectar;;;;;;;ASR;Rickaroons Chocolate Blonde Coconut Energy Bar;https://www.rickaroons.com/chocolate-blonde/;checked;Other Monsters;Other Monsters;Strange Monsters;Evaporated coconut palm nectar is a produced from fresh sap after cutting flower buds of the coconut palm. This sugar is found in energy bars and cashew-chocolate snacks.
175;Organic Fair Trade Unrefined Cane Sugar;X;;X;X;X;;ASR;Organic Valley Grassmilk Vanilla Yogurt;https://www.organicvalley.coop/products/grassmilk-yogurt/grassmilk-yogurt-24-oz/vanilla-grassmilk-yogurt-24-oz/;checked;Cane Monsters;Cane Monsters;Cane Monsters;Organic fair trade unrefined cane sugar are cane sugars that are a dark brown color and retain most or all of the original cane molasses. This sugar can be found in eggnog, soy, and milk.
176;Organic Fruit Juice Concentrate;;;;;;;;Brat Hans Organic Apple Chicken Sausage;https://www.theoriginalbrathans.com/?category=Organic&product=Organic+Apple+Chicken+Sausage;checked;Concentrate Monsters;Concentrate Monsters;Concentrate Monsters;Orange fruit juice concentrate is made by squeezing juice from fruit and removing a large percentage of the water, usually by heat. This sugar can be found in sausages and cereals.
177;Organic Glucose Syrup;;;;;;;;Clif Bar Blueberry Crisp Energy Bar;https://www.clifbar.com/products/clif/clif-bar/blueberry-crisp;checked;OSE Monsters;OSE Monsters;OSE Monsters;Organic glucose syrup is produced by enzymatic decomposition from starch. It is also referred to as rice syrup, corn syrup, or wheat syrup. This sugar is found in energy bars and chocolate.
178;Organic Grape Juice Concentrate;;;;;;;in ASR;Wholesome Surf Sweets Organic Watermelon Ring Candy;http://shop.wholesomesweet.com/Surf-Sweets-Organic-Watermelon-Rings/p/WHSM-001537&c=Wholesome@Candy@SurfSweets;checked;Concentrate Monsters;Concentrate Monsters;Concentrate Monsters;Grape juice concentrate is made by squeezing juice from the grape and removing a large percentage of the water, usually by heat. This sugar is found in various types of energy snacks.
179;Organic Honey;;;;;;;ASR;Nature Path Love Crunch Dark Chocolate Macaroon Granola Bars;https://www.naturespath.com/en-us/products/love-crunch/dark-chocolate-macaroon-granola-bars/;checked;Other Monsters;Other Monsters;Strange Monsters;Honey is a substance produced by bees and some related insects. Bees produce honey from the sugary secretions of plants or from secretions of other insects. This sugar can be found in chocolate, bars, and supplements.
180;Organic Invert Cane Sugar;X;X;X;X;X;;in ASR;Blue Sky Organic Ginger Ale Soda;http://www.blueskysoda.com/sodas;checked;Sugar Monsters;Cane Monsters;Cane Monsters;Inverted cane sugar is a mixture of two simple sugars—glucose and fructose—that is made by heating cane sugar with water. This sugar can be found in chia seeds, cookies, and coconut milk.
181;Organic Invert Cane Syrup;;;;;;;ASR;Nature Path Love Crunch Dark Chocolate Macaroon Granola Bars;https://www.naturespath.com/en-us/products/love-crunch/dark-chocolate-macaroon-granola-bars/;checked;Cane Monsters;Cane Monsters;Cane Monsters;Organic invert cane syrup is a mixture of two simple sugars—glucose and fructose—that is made by heating sucrose with water. This sugar is found in crackers and cookies.
182;Organic Invert Sugar;;;;;;;ASR;Wholesome Organic Vanilla Frosting;http://shop.wholesomesweet.com/Organic-Vanilla-Frosting/p/WHSM-801335&c=Wholesome@Frosting;checked;Sugar Monsters;Sugar Monsters;Obvious Monsters;Invert sugar is produced when crystalized sugar (sucrose) is broken down into varying ratios of fructose and glucose. This sugar can be found in cookies and various snacks.
183;Organic Invert Sugar Cane Syrup;;;;;;;ASR;Wholesome Organic Chocolate Frosting;http://shop.wholesomesweet.com/Organic-Chocolate-Frosting/p/WHSM-801311&c=Wholesome@Frosting;checked;Sugar Monsters;Sugar Monsters;Obvious Monsters;Organic invert sugar cane syrup is an edible mixture of two simple sugars—glucose and fructose—that is made by heating sucrose with water. This sugar can be found in pancake syrups and frosting.
184;Organic Invert Sugar Syrup;X;X;X;;;;ASR;Clif Bar Blueberry Crisp Energy Bar;https://shop.clifbar.com/CLIF-Bar-Blueberry-Crisp/p/CLIF-102607&c=ClifBar@ClifBar@Bars;checked;Sugar Monsters;Sugar Monsters;Obvious Monsters;Organic invert sugar syrup is a mixture of two simple sugars—glucose and fructose—that is made by heating sucrose with water. This sugar is found in energy bars and cookies.
185;Organic Invert Syrup;;;;;;;in ASR;Newman's Own Chocolate Newman-O's Cookies;https://www.newmansown.com/foods/chocolate-newman-os/;checked;Syrup Monsters;Syrup Monsters;Syrup Monsters;Organic invert syrup is a mixture of two simple sugars—glucose and fructose—that is made by heating sucrose with water. This sugar can be found in cookies and crackers.
186;Organic Lactose;;;;X;;;ASR;Luck's Organic Cheddar Clouds White Cheddar Cheese Puffs Snacks;https://www.lukesorganic.com/cl-cheddar-clouds;checked;OSE Monsters;OSE Monsters;OSE Monsters;"Organic lactose is a disaccharide; a sugar composed of galactose and glucose. Organic lactose can be found in milk and infant formula. "
187;Organic Lemon Juice Concentrate;;;;;;;;Harris Teeter HT Organics Ranch Dressing;http://grocery.harristeeter.com/pd/HT-Organics/Ranch-Dressing/12-fl-oz/072036718228/  ;checked;Concentrate Monsters;Concentrate Monsters;Concentrate Monsters;Lemon juice concentrate is made by squeezing juice from the lemon and removing a large percentage of the water, usually by heat. THis sugar can be found in ranch dressings.
188;Organic Light Brown Sugar;;;;;;;ASR;Jackie's Cookie Connection Gluten-Free / Vegan Chocolate Chocolate Chip Cookies;https://www.jackiescookieconnection.com/ingredients;checked;Sugar Monsters;Sugar Monsters;Obvious Monsters;Brown sugar is a sucrose sugar product with brown color due to the presence of molasses. This sugar is found in sunflower butter and cookies.
189;Organic Maltodextrin;;;;;;;ASR;GimMe Snacks Organic Roasted Seaweed Snacks;https://gimmesnacks.com/products/roasted-teriyaki;checked;Dextrin Monsters;Dextrin Monsters;Dextrin Monsters;Maltodextrin is a polysaccharide that is used as a food additive and is produced from starch by partial hydrolysis. This sugar can be found in turmeric supplements and seaweed snacks.
190;Organic Maple Syrup;X;X;X;X;X;;ASR;Bakery On Main Organic Happy Granola Sprouted Maple Quinoa Granola;https://bakeryonmain.com/shop/organic-happy-granola-sprouted-maple-quinoa/;checked;Syrup Monsters;Syrup Monsters;Syrup Monsters;Maple syrup is a syrup usually made from the xylem sap of sugar maple or other forms of maple species. This sugar can be found in applesauce, fruit drinks, and vinegar.
191;Organic Milled Cane Sugar;;;;;;;ASR;Wegmans Organic Food You Feel Good About Coconut & Baobab Granola;https://www.wegmans.com/products/grocery-food/breakfast/granola/granola-organic-coconut-baobab.html;checked;Cane Monsters;Cane Monsters;Cane Monsters;Milled sugar uses sugar crystals from the first milled juice of sugar cane plants. This sugar can be found in certain granolas and raisin bran. 
192;Organic Molasses;;;;;;;ASR;Woodstock Hickory Organic BBQ Sauce;https://www.woodstock-foods.com/the-goods/organic-bbq-sauce-hickory;checked;Other Monsters;Other Monsters;Strange Monsters;Molasses is the thick, brown syrup left after the sugar has been removed from the juice of sugar cane or beets. This sugar can be found in ginger ale, sauces, and granola.
193;Organic Molasses Granules;;;;;;;ASR;St. Claire's Organic Ginger Pastilles Candy;https://www.azurestandard.com/shop/product/food/sweets-candies/mints/ginger/ginger-pastilles-organic/9632?package=SC058;checked;Other Monsters;Other Monsters;Strange Monsters;Organic molasses granules are a dark, sweet, grainy sugar made when the syrup of sugar cane is crystalized. This sugar can be found in various candies.
194;Organic Non-Gmo Honey;;;;;;;ASR;Pamela Mini Honey Grahams Crackers;http://www.pamelasproducts.com/products/graham-crackers-gluten-free/mini-honey-grahams-gluten-free/;checked;Other Monsters;Other Monsters;Strange Monsters;Non-GMO honey is honey in its natural state as it has been produced from the nectar of plants, and it is never exposed to artificial manipulation. This sugar can be found in graham crackers.
195;Organic Panela Sugar;;;;X;;;in ASR;Cre8ive Spice Chai Latte Spice;https://cre8ivecoffee.com.au/product/cosecha-organic-chai/;checked;Sugar Monsters;Sugar Monsters;Obvious Monsters;Panela is unrefined whole cane sugar which is a solid form of sucrose derived from the boiling and evaporation of sugarcane juice. This sugar is found in chai latte spices. 
196;Organic Pineapple Juice Concentrate;;;;;;;ASR;Woodstock Hickory Organic BBQ Sauce;https://www.woodstock-foods.com/the-goods/organic-bbq-sauce-hickory;checked;Concentrate Monsters;Concentrate Monsters;Concentrate Monsters;Pineapple juice concentrate is made by squeezing juice from the pineapple and removing a large percentage of the water, usually by heat. This sugar is found in coconut water, fruit bars, and baby food.
197;Organic Powdered Sugar;;;;;;;ASR;Unreal Dark Chocolate Peanut Butter Cups ;https://shop.getunreal.com/Dark-Chocolate-Peanut-Butter-Cups/p/UNR-005158&c=UnReal@Cups;checked;Sugar Monsters;Sugar Monsters;Obvious Monsters;Powdered sugar, also called confectioners' sugar, is a finely ground sugar produced by milling granulated sugar into a powdered state. This sugar can be found in frosting, cupcakes, and ice creams.
198;Organic Raisin Juice Concentrate;;;;;;;in ASR;Cascadian Farm Organic Sweet & Salty Peanut Pretzel Chewy Granola Bars;https://www.cascadianfarm.com/product/sweet-salty-peanut-pretzel-chewy-granola-bar/;checked;Concentrate Monsters;Concentrate Monsters;Concentrate Monsters;Raisin juice concentrate is made by obtaining juice from the raisin and removing a large percentage of the water, usually by heat. This sugar is found in certain breads such as crusts and rolls.
199;Organic Raw Dark Agave Syrup;;;;X;;;ASR;Mountain Muesli American Muesl Cherry Almond Granola;https://www.mountainmuesli.com/cereal-1/cherry-almond;checked;Syrup Monsters;Syrup Monsters;Syrup Monsters;Agave syrup is a sweetener extracted from the core of the agave, a cactus-like plant native to Mexico. Raw usually means organic or uncooked and can be found in some granolas.
200;Organic Raw Honey;;;;;;;ASR;Bliss Hazelnut Butter;http://www.blissnutbutters.com/product/hazelnut-butter-bliss/;checked;Other Monsters;Other Monsters;Strange Monsters;Raw honey is the natural honey bees produce directly in a hive without additional processing or filtration. This sugar can be found in chocolate and hazelnut butter.
201;Organic Rice Maltodextrin;;;;;;;;Nature's One Pedia Smart Complete Nutrition For Kids 1 To 13 Years Vanilla Drink;https://naturesone.zendesk.com/hc/en-us/articles/201462216-PediaSmart-Dairy-Ingredients-Quality;checked;;Dextrin Monsters;Dextrin Monsters;Maltodextrin is a hygroscopic powder that is generally creamy white in color. The partial hydrolysis of starch results in the creation of the rice maltodextrin and can be found in certain drinks for children.
202;Organic Rice Syrup;;;;;;;ASR;Field Day Organic Cinnamon Flax Granola;https://www.fielddayproducts.com/product/organic-cinnamon-flax-granola-4256360373;checked;Syrup Monsters;Syrup Monsters;Syrup Monsters;Rice syrup is derived from cultured cooked rice starch with saccharifying enzymes to break down the starches, followed by straining of the liquid and reducing it by evaporative heating. This sugar can be found in certain granolas.
203;Organic Rice Syrup Solids;;;X;;;;in ASR;Annie's Organic Gluten Free Vegan Mac Instant Mac And Cheese;https://www.annies.com/products/pastas/organic-gluten-free-vegan-elbows-creamy-sauce;checked;Syrup Monsters;Syrup Monsters;Syrup Monsters;Organic rice syrup solids are made from non-GMO rice. Organic rice syrup solids are processed by agglomeration, which increases particle size and lowers bulk density. This sugar can be found in rice and mac and cheese.
204;Organic Strawberry Juice Concentrate;;;;;;;ASR;Stonyfield Organic Kids Milk Tubes Strawberry Banana Yogurt;https://www.stonyfield.com/products/baby-kids/kids/tubes-whole-milk-strawberry-banana;checked;Concentrate Monsters;Concentrate Monsters;Concentrate Monsters;Strawberry juice concentrate is made by squeezing juice from the strawberry and removing a large percentage of the water, usually by heat. This sugar is found in fruit snacks and smoothies.
205;Organic Sugar;;;;;;;ASR;Wholesome Organic Vanilla Frosting;http://shop.wholesomesweet.com/Organic-Vanilla-Frosting/p/WHSM-801335&c=Wholesome@Frosting;checked;Sugar Monsters;Sugar Monsters;Obvious Monsters;Sugar is the generic name for sweet-tasting, soluble carbohydrates. This sugar is found in ketchup, sauces, and yoghurt. 
206;Organic Sugar Cane Syrup;;;;;;;ASR;Andean Dream Quinoa Coconut Cookies;http://www.andeandream.com/quinoa-cookies.html;checked;Sugar Monsters;Sugar Monsters;Obvious Monsters;Organic sugar cane syrup is made by evaporating sugar cane juice. During the boiling process, baking soda and lemon juice are also added to the juice. This sugar can be found in pita bread, soups, and cookies. 
207;Organic Tapioca Maltodextrin;;;;;;;ASR;Wholesome Organic Fruit Chews Candy;http://shop.wholesomesweet.com/Wholesome-Organic-Fruit-Chews/p/WHSM-531423&c=Wholesome@Candy;checked;Dextrin Monsters;Dextrin Monsters;Dextrin Monsters;Tapioca maltodextrin is a dextrose made from tapioca. Tapioca is starchy ingredient that is processed from dried cassava roots. This sugar is found in protein cakes, rice cakes, and mac and cheese. 
208;Organic Tapioca Syrup;;;;;;X;ASR;Annie's Sunny Citrus Organic Bunny Fruit Snacks;https://www.annies.com/products/snacks/sour-bunnies-fruit-snacks;checked;Syrup Monsters;Syrup Monsters;Syrup Monsters;Tapioca syrup is produced from tapioca starch using a natural fermentation process. This sugar is found in protein bars and dressings.
209;Organic Tapioca Syrup Solids;;;;;;;in ASR;Annie's Sunny Citrus Organic Bunny Fruit Snacks;https://www.annies.com/products/snacks/sunny-citrus-organic-bunny-fruit-snacks;checked;Syrup Monsters;Syrup Monsters;Syrup Monsters;Tapioca syrup solids are slightly sweet, white or off-white colored powder that are often used for bulking. This sugar can be found in chips and fruit snacks. 
210;Organic White Grape Juice Concentrate;;;;;;;ASR;Sahale Snacks Honey Almonds Glazed fruit and nut mix ;https://www.sahalesnacks.com/products/honey-almonds-glazed-mix;checked;Concentrate Monsters;Concentrate Monsters;Concentrate Monsters;White grape juice concentrate is made by squeezing juice from the white grape and removing a large percentage of the water, usually by heat. This sugar can be found in juices and fruit flavored snacks.
211;Palm Sugar;;;;X;;;in ASR;Abc Sweet Soy Sauce;https://www.woolworths.com.au/shop/productdetails/720977/abc-sweet-soy-sauce;checked;Sugar Monsters;Sugar Monsters;Obvious Monsters;Palm sugar is a sweetener that is made from the sap present in the flower buds of the coconut palm tree. This sugar can be found in noodles and rice.
212;Passion Fruit Juice Concentrate;;;;;;;ASR;Hawaii's Own Pineapple Starfuit Frozen Juice Concentrate;http://www.hawaiisown.com/site/products/pineapple-starfruit/;checked;Concentrate Monsters;Concentrate Monsters;Concentrate Monsters;Passion fruit juice concentrate is made by squeezing juice from the passion fruit and removing a large percentage of the water, usually by heat. This sugar is found in juices and yoghurts. 
213;Peach Juice Concentrate;;;;;;;ASR;Bai Antioxidant Infusion Panama Peach Flavored Water;https://www.drinkbai.com/products/panama-peach;checked;Concentrate Monsters;Concentrate Monsters;Concentrate Monsters;Peach juice concentrate is made by squeezing juice from the peach and removing a large percentage of the water, usually by heat. This sugar can be found in juices and peach cobblers.
214;Pear Juice Concentrate;;;;;;;ASR;Kashi Ripe Strawberry Breakfast Bars;https://www.kashi.com/our-foods/bars/kashi-cereal-bars-ripe-strawberry;checked;Concentrate Monsters;Concentrate Monsters;Concentrate Monsters;Pear juice concentrate is made by squeezing juice from the pear and removing a large percentage of the water, usually by heat. This sugar can be found in juices, smoothies, and jelly beans.
215;Pear Syrup (iv);;;;;;;;Dannon Yocream Key Lime Nonfat Non-Dairy Sorbet;https://www.chillzonenm.com/Flavor%20info/Key%20Lime%20Sorbet.pdf;checked;Syrup Monsters;Syrup Monsters;Syrup Monsters;Pear syrup has been mislabeled as an ingredient by food makers. According to the FDA rules, it should have been labeled instead as: “Pear, water, sugar”. This sugar can be found in sorbets.
216;Pineapple Juice Concentrate;;;;;;;in ASR;Cookies Signature Sweet Hickory BBQ Sauce;https://www.cookiesbbq.com/products/sweet-hickory-bbq-sauce/;checked;Concentrate Monsters;Concentrate Monsters;Concentrate Monsters;Pineapple juice concentrate is made by squeezing juice from the pineapple and removing a large percentage of the water, usually by heat. This sugar is found in tea, juices, and smoothies. 
217;Pineapple Syrup (v);;;;;;;ASR;Kellogg Special K Dark Chocolate Pomegranate Chewy Snack Bar;http://www.specialk.com/en_US/products/special-k-snack-bars-dark-chocolate-pomegranet-product.html;checked;Syrup Monsters;Syrup Monsters;Syrup Monsters;Pineapple syrup has been mislabeled as an ingredient by food makers. According to the FDA rules, it should have been labeled instead as: “Pineapple, water, sugar”. This sugar can be found in cereals and ice cream.
218;Plum Juice Concentrate;;;;;;;ASR;Kellogg Special K Dark Chocolate Pomegranate Chewy Snack Bar;http://www.specialk.com/en_US/products/special-k-snack-bars-dark-chocolate-pomegranet-product.html;checked;Concentrate Monsters;Concentrate Monsters;Concentrate Monsters;Plum juice concentrate is made by squeezing juice from the plum and removing a large percentage of the water, usually by heat. This sugar can be found in protein bars and dressings.
219;Pomegranate Juice Concentrate;;;;;;;ASR;Bai Antioxidant Infusion Ipanema Pomegranate Flavored Water;https://www.drinkbai.com/products/ipanema-pomegranate;checked;Concentrate Monsters;Concentrate Monsters;Concentrate Monsters;Pomegranate juice concentrate is made by squeezing juice from the pomegranate and removing a large percentage of the water, usually by heat. This sugar can be found in juice, energy drinks, and yoghurt.
220;Powdered Sugar;;;;X;;;in ASR;Deluscious Chocolate Decadence Cookies;https://www.delusciouscookies.com/articles/chocolate-decadence.htm;find another product;Sugar Monsters;Sugar Monsters;Obvious Monsters;Powdered sugar, also called confectioners' sugar, is a finely ground sugar produced by milling granulated sugar into a powdered state. It usually contains a small amount of anti-caking agent and is found in apple pancakes and baked goods.
221;Pure Cane Golden Brown Sugar;;;;;;;;Jackie's Cookie Connection Boysenberry Chocolate Chip Cookies;https://www.jackiescookieconnection.com/ingredients;checked;Cane Monsters;Cane Monsters;Cane Monsters;Golden brown sugar is made by mixing pure cane sugar and molasses. This sugar can be found in chocolate chip cookies.
222;Pure Cane Sugar;;;;;;;ASR;Starbucks Almond Butter, Strawberry, And Jam Sandwich;https://www.starbucks.com/menu/food/mercato/almond-butter-strawberry-jam;checked;Cane Monsters;Cane Monsters;Cane Monsters;Pure cane sugar comes from the sugarcane plant without any genetic modification. This sugar is found in lemonade and goat cheese.
223;Pure Local Sorghum Molasses;;;;;;;;Buchi Sovereign Kombucha Ginger, Peach, Molasses Tea;https://www.drinkbuchi.com/Brews/Sovereign;checked;;Other Monsters;Strange Monsters;Sorghum cane is harvested and the juice is extracted from the freshly cut plants. This sugar can be found in different types of tea.
224;Pure Maple Syrup;;;;;;;ASR;Michele's Granola Toasted Muesli Cereal;https://www.michelesgranola.com/products/toasted-muesli;checked;Syrup Monsters;Syrup Monsters;Syrup Monsters;The basic ingredient in maple syrup is the sap from the xylem of sugar maple or various other species of maple trees. It consists primarily of sucrose and water and can be found in cereals or used with pancakes. 
225;Raisin Juice Concentrate;;;;;;;ASR;New Yorker Bagels Kettle Boiled Wheat Bagel;https://wholesale-bagels.newyorkerbagels.com/wp-content/uploads/2015/02/NYWB-Wheat-Everything-water-bagles.pdf;checked;Concentrate Monsters;Concentrate Monsters;Concentrate Monsters;Raisin juice concentrate is made by obtaining juice from the raisin and removing a large percentage of the water, usually by heat. This sugar can be found in bread.
226;Raisin Nectar;;;;;;;ASR;Silver Hills Squirrelly Wheat Bread;https://silverhillsbakery.ca/our-products/squirrelly-bread/;checked;Other Monsters;Other Monsters;Strange Monsters;Raisin nectar is juice from a raisin often diluted with water and contain additives including natural and artificial sweeteners. This sugar is found in wheat bread and bagels. 
227;Raspberry Juice Concentrate;;;;;;;ASR;Turkey Hill Raspberry Cream Swirl Ice Cream;https://www.turkeyhill.com/frozen/ice-cream/premium-ice-cream/raspberry-cream-swirl;checked;Concentrate Monsters;Concentrate Monsters;Concentrate Monsters;Raspberry juice concentrate is made by squeezing juice from the raspberry and removing a large percentage of the water, usually by heat. This sugar is found in sports drinks and some ice creams. 
228;Raw Cane Sugar;;;;;;;ASR;Jiva Classic Coffee Cubes, Freeze-Dried Colombian Coffee ;https://jivacubes.com/product/classic-coffee-cubes/;checked;Cane Monsters;Cane Monsters;Cane Monsters;Raw (cane) sugar, or turbinado (brown) sugar, is made from the juice of the sugar cane plant with its brown coloring due to the presence of molasses. It can be found in some colombian coffees, onion dips, and chocolate almonds.
229;Raw Honey;;;;;;;x;Cappellos Gluten And Grain Free Pepperoni Pizza;https://cappellos.com/products/pepperoni-pizza-1;checked;Other Monsters;Other Monsters;Strange Monsters;Raw honey is made by extracting honey from the honeycombs of the hive and straining it over a mesh or nylon cloth to separate the honey from impurities. It can be found in some gluten free pizza, almond butter, and dietary supplements. 
230;Raw Sugar;https://www.accessdata.fda.gov/scripts/interactivenutritionfactslabel/sugars.html;X;X;;X;;ASR;Starbucks Smoked Cubano Sandwich;https://www.starbucks.com/menu/food/mercato/smoked-pork-cubano;checked;Sugar Monsters;Sugar Monsters;Obvious Monsters;Raw (cane) sugar, or turbinado (brown) sugar, is made from the juice of the sugar cane plant with its brown coloring due to the presence of molasses. It can be found in smoked cubano sandwiches, bacon, and sausages. 
231;Refiner's Syrup;;;;X;;;ASR;General Mills French Toast Crunch Cereal;https://www.generalmills.com/en/Brands/Cereals/cinnamon-toast-crunch/brand-product-list;checked;Syrup Monsters;Syrup Monsters;Syrup Monsters;Refiner's syrup (also called “golden syrup”) is made at a sugar refinery, not at the sugar mill. This sugar is found in some cereals. 
232;Refinery Syrup;;;;;;;;TGI Friday's Honey BBQ Chicken Wings;http://www.fridaysinyourfreezer.com/Products/Chicken%20Wings%20Honey%20BBQ%209%20OZ;checked;Syrup Monsters;Syrup Monsters;Syrup Monsters;Refinery syrup is made at a sugar refinery, not at the sugar mill. This sugar can be found in some chain restaurants honey bbq chicken wings.
233;Rice Maltodextrin;;;;;;;ASR;Nature Valley Coconut Almond Protein Chewy Bar;https://www.naturevalley.com/product/gluten-free-protein-bars-coconut-almond/;checked;Dextrin Monsters;Dextrin Monsters;Dextrin Monsters;Maltodextrin is a powder that is generally creamy white in color and the partial hydrolysis of starch results in rice maltodextrin. It can be found in some protein bars, sweeteners, and probiotic dietary supplements.
234;Rice Syrup;;;;X;;;in ASR;ON-Optimum Nutrition Cake Bites, Whipped Protein Bar;https://www.optimumnutrition.com/en-us/product/cake-bites;checked;Syrup Monsters;Syrup Monsters;Syrup Monsters;Rice syrup is derived from cultured cooked rice starch with saccharifying enzymes to break down the starches, followed by straining of the liquid and evaporation. This sugar can be found in some protein bars and chocolate cookies.
235;Rice Syrup Solids;;;;;;;http://www.nutritionalmagnesium.org/high-fructose-corn-syrup-and-the-obesity-epidemic/;Perfectlyfree Mint Chocolate Frozen Dessert;https://www.perfectlyfree.com/bites/?flavor=mint-chocolate;checked;Syrup Monsters;Syrup Monsters;Syrup Monsters;Rice syrup solids are sweet granulated powder additives. It can be found in some frozen chocolate bites and nutty bars.
236;Saccharose;;;;X;;;;Toschi Candied Orange Peels In Syrup, Sweetened Fruit in Syrup;https://www.worldmarket.com/product/toschi+candied+orange+peels+in+syrup.do;find another product;Other Monsters;OSE Monsters;OSE Monsters;Saccharose is another term for sucrose, or sugar. This sugar can be found in syrup with candied orange peels, shortbread, and chocolates.
237;Sorghum Syrup;;;;X;;;in ASR;Aunt Millie's 12 Whole Grains Bread;https://www.auntmillies.com/products/breads/5616;checked;Syrup Monsters;Syrup Monsters;Syrup Monsters;Sorghum syrup is made from a type of grass grown in tall stalks which are harvested, juiced, and boiled until enough moisture has evaporated. This sugar is found in some whole grains bread and granola.
238;Strawberry Juice Concentrate;;;;;;;ASR;Bai Antioxidant Infusion Sao Paulo Strawberry Flavored Water;https://www.drinkbai.com/products/sao-paulo-strawberry-lemon;checked;Concentrate Monsters;Concentrate Monsters;Concentrate Monsters;Strawberry juice concentrate is made by squeezing juice from the strawberry and removing a large percentage of the water, usually by heat. This sugar can be found in some strawberry lemonade drinks and candies.
239;Sucrose;https://www.accessdata.fda.gov/scripts/interactivenutritionfactslabel/sugars.html;X;X;http://dtc.ucsf.edu/pdfs/Sweeteners_04.30.10.pdf;X;;in ASR;Fischer & Wieser Razzpotle Roasted Blueberry Chipotle Sauce;https://www.jelly.com/product/1062/roasted-blueberry-chipotle-sauce;checked;Ose Monsters;Ose Monsters;Ose Monsters;Sucrose is a disaccharide made of glucose and fructose. Sucrose is produced naturally in plants, from which table sugar is refined. It can be found in chocolate, sauces, fruits, and energy drinks.
240;Sugar;;;X;;;;ASR;General Mills Honey Nut Cheerios Cereal;https://www.cheerios.com/products/honey-nut-cheerios/;checked;Sugar Monsters;Sugar Monsters;Obvious Monsters;Sugar is the generic name for sweet-tasting, soluble carbohydrates. Sugar is found in cereals, granola bars, fruit juices, and more.
241;Sugar Beet Syrup;;;;;;;ASR;Westminster Baker Lucy Superfruit Cookies;https://www.westminstercrackers.com/superfruit-cookies;checked;Sugar Monsters;Sugar Monsters;Obvious Monsters;Sugar beet syrup is made from the juice of harvested sugar beets. It is then cooked and concentrated and can be found in superfruit and italian cookies.
242;Sugar Cane Syrup;;;;;;;ASR;Udi Delicious Soft White Sandwich Bread;https://udisglutenfree.com/products/delicious-soft-white-sandwich-bread-12-oz/;checked;Sugar Monsters;Sugar Monsters;Obvious Monsters;Sugar cane syrup is made by evaporating sugar cane juice.  During the boiling process, baking soda and lemon juice are also added to the juice. This sugar can be found in chocolate, bagels, and mexican condiments.
243;Sugarcane Molasses;;;X;;;;ASR;Starbucks Ham & NY Cheddar Sandwich;https://www.starbucks.com/menu/food/sandwiches-panini-and-wraps/ham-ny-cheddar-sandwich?foodZone=9999;checked;Sugar Monsters;Strange Monsters;Strange Monsters;Sugarcane molasses is the liquid produced after evaporating sugarcane juice and removing all or any part of the crystallizable sugar. This sugar can be found in grain bread and wafers.
244;Syrup;;;X;http://dtc.ucsf.edu/pdfs/Sweeteners_04.30.10.pdf;X;;ASR;Daelmans Caramel Mini Stroopwafels Cookie;https://www.stroopwafels.com/us/product/daelmans-mini-caramel-200-pcs/;checked;Syrup Monsters;Syrup Monsters;Syrup Monsters;A syrup is a condiment that is a thick, viscous liquid consisting primarily of a solution of sugar in water. This sugar can be found in some candy and baked goods.
245;Tapioca Dextrin;;;;;;;ASR;Stubb Spicy Bar-B-Q Sauce;https://www.stubbsbbq.com/product/spicy/;checked;Dextrin Monsters;Dextrin Monsters;Dextrin Monsters;Tapioca dextrin is a sugar that is extracted from the cassava plant. This sugar can be found in some spicy bbq brand sauces and candy. 
246;Tapioca Maltodextrin;;;;;;;ASR;Starbucks Ham & NY Cheddar Sandwich;https://www.starbucks.com/menu/food/sandwiches-panini-and-wraps/ham-ny-cheddar-sandwich?foodZone=9999;checked;Dextrin Monsters;Dextrin Monsters;Dextrin Monsters;Tapioca maltodextrin is derived from tapioca starch using a natural enzymatic process, and is often used as a stabilizer. It's an ideal fat replacer in desserts, cheese products, dressings, and sauces.
247;Tapioca Syrup;;;;;;;ASR;Nugo Vanilla Yogurt Bar;https://store.nugonutrition.com/nugo-vanilla-yogurt;checked;Syrup Monsters;Syrup Monsters;Syrup Monsters;Tapioca syrup is produced from tapioca starch using a natural fermentation process. This sugar can be found in vanilla yoghurt bars and trail mix. 
248;Tapioca Syrup Solids;;;;;;;x;Ciao Bella Coconut Sorbetto Frozen Dessert;https://www.ewg.org/foodscores/products/799512012037-CiaoBellaCoconutSorbetto;checked;Syrup Monsters;Syrup Monsters;Syrup Monsters;The tapioca syrup solids are produced from tapioca starch that is obtained using a natural enzymatic process. This sugar can be found in some coconut sorbets. 
249;Tart Cherry Juice Concentrate;;;;;;X;ASR;Kevita Master Brew Kombucha Tart Cherry Tea;https://www.kevita.com/tart-cherry/;checked;Concentrate Monsters;Concentrate Monsters;Concentrate Monsters;Tart cherry juice concentrate is made by squeezing juice from the tart cherry and removing a large percentage of the water, usually by heat. This sugar is found in some kombucha tart cherry drinks and juices.
